k,t_k1_s,pwm_k,u_eff_k,omega_k_rad_s,omega_k1_rad_s
457,9.160000,-0.700000,-0.333333,4.92861223,4.76962471
458,9.179999,-0.700000,-0.333333,4.76962471,4.92861223
459,9.200000,-0.700000,-0.333333,4.92861223,4.76962471
460,9.220000,-0.700000,-0.333333,4.76962471,4.92861223
461,9.240000,-0.700000,-0.333333,4.92861223,4.76962471
462,9.260000,-0.700000,-0.333333,4.76962471,4.92861223
463,9.280000,-0.700000,-0.333333,4.92861223,4.76962471
464,9.300000,-0.700000,-0.333333,4.76962471,4.92861223
465,9.320000,-0.700000,-0.333333,4.92861223,4.76962471
466,9.340000,-0.700000,-0.333333,4.76962471,4.92861223
467,9.360000,-0.700000,-0.333333,4.92861223,4.76962471
468,9.380000,-0.700000,-0.333333,4.76962471,4.92861223
469,9.400000,-0.700000,-0.333333,4.92861223,4.92861223
470,9.420000,-0.700000,-0.333333,4.92861223,4.76962471
471,9.440000,-0.700000,-0.333333,4.76962471,4.92861223
472,9.460000,-0.700000,-0.333333,4.92861223,4.76962471
473,9.480000,-0.700000,-0.333333,4.76962471,4.92861223
474,9.500000,-0.700000,-0.333333,4.92861223,4.76962471
475,9.520000,-0.700000,-0.333333,4.76962471,4.92861223
476,9.540000,-0.700000,-0.333333,4.92861223,4.76962471
477,9.559999,-0.700000,-0.333333,4.76962471,4.92861223
478,9.580000,-0.700000,-0.333333,4.92861223,4.92861223
479,9.599999,-0.700000,-0.333333,4.92861223,4.76962471
480,9.620000,-0.700000,-0.333333,4.76962471,4.92861223
481,9.639999,-0.700000,-0.333333,4.92861223,4.76962471
482,9.660000,-0.700000,-0.333333,4.76962471,4.92861223
483,9.679999,-0.700000,-0.333333,4.92861223,4.76962471
484,9.700000,-0.700000,-0.333333,4.76962471,4.92861223
485,9.719999,-0.700000,-0.333333,4.92861223,4.92861223
486,9.740000,-0.700000,-0.333333,4.92861223,4.76962471
487,9.760000,-0.700000,-0.333333,4.76962471,4.92861223
488,9.780000,-0.700000,-0.333333,4.92861223,4.76962471
489,9.800000,-0.700000,-0.333333,4.76962471,4.92861223
490,9.820000,-0.700000,-0.333333,4.92861223,4.76962471
491,9.840000,-0.700000,-0.333333,4.76962471,4.92861223
492,9.860000,-0.700000,-0.333333,4.92861223,4.92861223
493,9.880000,-0.700000,-0.333333,4.92861223,4.76962471
494,9.900000,-0.700000,-0.333333,4.76962471,4.92861223
495,9.920000,-0.700000,-0.333333,4.92861223,4.76962471
496,9.940000,-0.700000,-0.333333,4.76962471,4.92861223
497,9.960000,-0.700000,-0.333333,4.92861223,4.92861223
498,9.980000,-0.700000,-0.333333,4.92861223,4.76962471
499,10.000000,-0.700000,-0.333333,4.76962471,4.92861223
500,10.020000,-0.700000,-0.333333,4.92861223,4.76962471
501,10.040000,-0.700000,-0.333333,4.76962471,4.92861223
502,10.059999,-0.700000,-0.333333,4.92861223,4.92861223
503,10.080000,-0.700000,-0.333333,4.92861223,4.76962471
504,10.099999,-0.700000,-0.333333,4.76962471,4.92861223
505,10.120000,-0.700000,-0.333333,4.92861223,4.92861223
506,10.139999,-0.700000,-0.333333,4.92861223,4.76962471
507,10.160000,-0.700000,-0.333333,4.76962471,4.92861223
508,10.179999,-0.700000,-0.333333,4.92861223,4.76962471
509,10.200000,-0.700000,-0.333333,4.76962471,4.92861223
510,10.219999,-0.700000,-0.333333,4.92861223,4.92861223
511,10.240000,-0.700000,-0.333333,4.92861223,4.76962471
512,10.260000,-0.700000,-0.333333,4.76962471,4.92861223
513,10.280000,-0.700000,-0.333333,4.92861223,4.76962471
514,10.300000,-0.700000,-0.333333,4.76962471,4.92861223
515,10.320000,-0.700000,-0.333333,4.92861223,4.92861223
516,10.340000,-0.700000,-0.333333,4.92861223,4.76962471
517,10.360000,-0.700000,-0.333333,4.76962471,4.92861223
518,10.380000,-0.700000,-0.333333,4.92861223,4.92861223
519,10.400000,-0.700000,-0.333333,4.92861223,4.76962471
520,10.420000,-0.700000,-0.333333,4.76962471,4.92861223
521,10.440000,-0.700000,-0.333333,4.92861223,4.92861223
522,10.460000,-0.700000,-0.333333,4.92861223,4.76962471
523,10.480000,-0.700000,-0.333333,4.76962471,4.92861223
524,10.500000,-0.700000,-0.333333,4.92861223,4.92861223
525,10.520000,-0.700000,-0.333333,4.92861223,4.76962471
526,10.540000,-0.700000,-0.333333,4.76962471,4.92861223
527,10.559999,-0.700000,-0.333333,4.92861223,4.92861223
528,10.580000,-0.700000,-0.333333,4.92861223,4.76962471
529,10.599999,-0.700000,-0.333333,4.76962471,4.92861223
530,10.620000,-0.700000,-0.333333,4.92861223,4.92861223
531,10.639999,-0.700000,-0.333333,4.92861223,4.76962471
532,10.660000,-0.700000,-0.333333,4.76962471,4.92861223
533,10.679999,-0.700000,-0.333333,4.92861223,4.92861223
534,10.700000,-0.700000,-0.333333,4.92861223,4.92861223
535,10.719999,-0.700000,-0.333333,4.92861223,4.76962471
536,10.740000,-0.700000,-0.333333,4.76962471,4.92861223
537,10.760000,-0.700000,-0.333333,4.92861223,4.92861223
538,10.780000,-0.700000,-0.333333,4.92861223,4.76962471
539,10.800000,-0.700000,-0.333333,4.76962471,4.92861223
540,10.820000,-0.700000,-0.333333,4.92861223,4.92861223
541,10.840000,-0.700000,-0.333333,4.92861223,4.76962471
542,10.860000,-0.700000,-0.333333,4.76962471,4.92861223
543,10.880000,-0.700000,-0.333333,4.92861223,4.92861223
544,10.900000,-0.700000,-0.333333,4.92861223,4.92861223
545,10.920000,-0.700000,-0.333333,4.92861223,4.76962471
546,10.940000,-0.700000,-0.333333,4.76962471,4.92861223
547,10.960000,-0.700000,-0.333333,4.92861223,4.92861223
548,10.980000,-0.700000,-0.333333,4.92861223,4.76962471
549,11.000000,-0.700000,-0.333333,4.76962471,4.92861223
550,11.020000,-0.700000,-0.333333,4.92861223,4.92861223
551,11.040000,-0.700000,-0.333333,4.92861223,4.76962471
552,11.059999,-0.700000,-0.333333,4.76962471,4.92861223
553,11.080000,-0.700000,-0.333333,4.92861223,4.92861223
554,11.099999,-0.700000,-0.333333,4.92861223,4.92861223       
555,11.120000,-0.700000,-0.333333,4.92861223,4.76962471
556,11.139999,-0.700000,-0.333333,4.76962471,4.92861223
557,11.160000,-0.700000,-0.333333,4.92861223,4.92861223
558,11.179999,-0.700000,-0.333333,4.92861223,4.76962471
559,11.200000,-0.700000,-0.333333,4.76962471,4.92861223       
560,11.219999,-0.700000,-0.333333,4.92861223,4.92861223
561,11.240000,-0.700000,-0.333333,4.92861223,4.92861223
562,11.259999,-0.700000,-0.333333,4.92861223,4.76962471
563,11.280000,-0.700000,-0.333333,4.76962471,4.92861223
564,11.300000,-0.700000,-0.333333,4.92861223,4.92861223       
565,11.320000,-0.700000,-0.333333,4.92861223,4.76962471
566,11.340000,-0.700000,-0.333333,4.76962471,4.92861223
567,11.360000,-0.700000,-0.333333,4.92861223,4.92861223
568,11.380000,-0.700000,-0.333333,4.92861223,4.92861223
569,11.400000,-0.700000,-0.333333,4.92861223,4.76962471
570,11.420000,-0.700000,-0.333333,4.76962471,4.92861223
571,11.440000,-0.700000,-0.333333,4.92861223,4.92861223
572,11.460000,-0.700000,-0.333333,4.92861223,4.76962471
573,11.480000,-0.700000,-0.333333,4.76962471,4.92861223
574,11.500000,-0.700000,-0.333333,4.92861223,4.92861223
575,11.520000,-0.700000,-0.333333,4.92861223,4.92861223
576,11.540000,-0.700000,-0.333333,4.92861223,4.76962471
577,11.559999,-0.700000,-0.333333,4.76962471,4.92861223
578,11.580000,-0.700000,-0.333333,4.92861223,4.92861223
579,11.599999,-0.700000,-0.333333,4.92861223,4.92861223
580,11.620000,-0.700000,-0.333333,4.92861223,4.92861223
581,11.639999,-0.700000,-0.333333,4.92861223,4.76962471
582,11.660000,-0.700000,-0.333333,4.76962471,4.92861223
583,11.679999,-0.700000,-0.333333,4.92861223,4.92861223
584,11.700000,-0.700000,-0.333333,4.92861223,4.92861223
585,11.719999,-0.700000,-0.333333,4.92861223,4.76962471
586,11.740000,-0.700000,-0.333333,4.76962471,4.92861223
587,11.759999,-0.700000,-0.333333,4.92861223,4.92861223
588,11.780000,-0.700000,-0.333333,4.92861223,4.92861223
589,11.800000,-0.700000,-0.333333,4.92861223,4.76962471
590,11.820000,-0.700000,-0.333333,4.76962471,4.92861223
591,11.840000,-0.700000,-0.333333,4.92861223,4.92861223
592,11.860000,-0.700000,-0.333333,4.92861223,4.92861223
593,11.880000,-0.700000,-0.333333,4.92861223,4.92861223
594,11.900000,-0.700000,-0.333333,4.92861223,4.76962471
595,11.920000,-0.700000,-0.333333,4.76962471,4.92861223
596,11.940000,-0.700000,-0.333333,4.92861223,4.92861223
597,11.960000,-0.700000,-0.333333,4.92861223,4.92861223
598,11.980000,-0.700000,-0.333333,4.92861223,4.76962471
599,12.000000,-0.700000,-0.333333,4.76962471,4.92861223
600,12.020000,-0.700000,-0.333333,4.92861223,4.92861223
601,12.040000,-0.700000,-0.333333,4.92861223,4.92861223
602,12.059999,-0.700000,-0.333333,4.92861223,4.92861223
603,12.080000,-0.700000,-0.333333,4.92861223,4.92861223
604,12.099999,-0.700000,-0.333333,4.92861223,4.76962471
605,12.120000,-0.700000,-0.333333,4.76962471,4.92861223
606,12.139999,-0.700000,-0.333333,4.92861223,4.92861223
607,12.160000,-0.700000,-0.333333,4.92861223,4.92861223
608,12.179999,-0.700000,-0.333333,4.92861223,4.76962471
609,12.200000,-0.700000,-0.333333,4.76962471,4.92861223
610,12.219999,-0.700000,-0.333333,4.92861223,4.92861223
611,12.240000,-0.700000,-0.333333,4.92861223,4.92861223
612,12.259999,-0.700000,-0.333333,4.92861223,4.92861223
613,12.280000,-0.700000,-0.333333,4.92861223,4.92861223
614,12.300000,-0.700000,-0.333333,4.92861223,4.76962471
615,12.320000,-0.700000,-0.333333,4.76962471,4.92861223
616,12.340000,-0.700000,-0.333333,4.92861223,4.92861223
617,12.360000,-0.700000,-0.333333,4.92861223,4.92861223
618,12.380000,-0.700000,-0.333333,4.92861223,4.76962471
619,12.400000,-0.700000,-0.333333,4.76962471,4.92861223
620,12.420000,-0.700000,-0.333333,4.92861223,4.92861223
621,12.440000,-0.700000,-0.333333,4.92861223,4.92861223
622,12.460000,-0.700000,-0.333333,4.92861223,4.92861223
623,12.480000,-0.700000,-0.333333,4.92861223,4.76962471
624,12.500000,-0.700000,-0.333333,4.76962471,4.92861223
625,12.520000,-0.700000,-0.333333,4.92861223,4.92861223
626,12.540000,-0.700000,-0.333333,4.92861223,4.92861223
627,12.559999,-0.700000,-0.333333,4.92861223,4.92861223
628,12.580000,-0.700000,-0.333333,4.92861223,4.76962471
629,12.599999,-0.700000,-0.333333,4.76962471,4.92861223
630,12.620000,-0.700000,-0.333333,4.92861223,4.92861223
631,12.639999,-0.700000,-0.333333,4.92861223,4.92861223
632,12.660000,-0.700000,-0.333333,4.92861223,4.92861223
633,12.679999,-0.700000,-0.333333,4.92861223,4.92861223
634,12.700000,-0.700000,-0.333333,4.92861223,4.76962471
635,12.719999,-0.700000,-0.333333,4.76962471,4.92861223
636,12.740000,-0.700000,-0.333333,4.92861223,4.92861223
637,12.759999,-0.700000,-0.333333,4.92861223,4.92861223
638,12.780000,-0.700000,-0.333333,4.92861223,4.92861223
639,12.799999,-0.700000,-0.333333,4.92861223,4.76962471
640,12.820000,-0.700000,-0.333333,4.76962471,4.92861223
641,12.840000,-0.700000,-0.333333,4.92861223,4.92861223
642,12.860000,-0.700000,-0.333333,4.92861223,4.92861223
643,12.880000,-0.700000,-0.333333,4.92861223,4.92861223
644,12.900000,-0.700000,-0.333333,4.92861223,4.92861223
645,12.920000,-0.700000,-0.333333,4.92861223,4.76962471
646,12.940000,-0.700000,-0.333333,4.76962471,4.92861223
647,12.960000,-0.700000,-0.333333,4.92861223,4.92861223
648,12.980000,-0.700000,-0.333333,4.92861223,4.92861223
649,13.000000,-0.700000,-0.333333,4.92861223,4.92861223
650,13.020000,0.000000,0.000000,4.92861223,4.76962471
651,13.040000,0.000000,0.000000,4.76962471,4.45164967
652,13.059999,0.000000,0.000000,4.45164967,4.13367462
653,13.080000,0.000000,0.000000,4.13367462,3.65671229
654,13.099999,0.000000,0.000000,3.65671229,3.17974973
655,13.120000,0.000000,0.000000,3.17974973,2.86177468
656,13.139999,0.000000,0.000000,2.86177468,2.38481236
657,13.160000,0.000000,0.000000,2.38481236,2.06683731
658,13.179999,0.000000,0.000000,2.06683731,1.58987486
659,13.200000,0.000000,0.000000,1.58987486,1.43088734
660,13.219999,0.000000,0.000000,1.43088734,0.95392495
661,13.240000,0.000000,0.000000,0.95392495,0.63594991
662,13.259999,0.000000,0.000000,0.63594991,0.47696248
663,13.280000,0.000000,0.000000,0.47696248,0.00000000
664,13.299999,0.000000,0.000000,0.00000000,0.00000000
665,13.320000,0.000000,0.000000,0.00000000,0.00000000
666,13.340000,0.000000,0.000000,0.00000000,0.00000000
667,13.360000,0.000000,0.000000,0.00000000,0.00000000
668,13.380000,0.000000,0.000000,0.00000000,0.00000000
669,13.400000,0.000000,0.000000,0.00000000,0.00000000
670,13.420000,0.000000,0.000000,0.00000000,0.00000000
671,13.440000,0.000000,0.000000,0.00000000,0.00000000
672,13.460000,0.000000,0.000000,0.00000000,0.00000000
673,13.480000,0.000000,0.000000,0.00000000,0.00000000
674,13.500000,0.000000,0.000000,0.00000000,0.00000000
675,13.520000,0.000000,0.000000,0.00000000,0.00000000
676,13.540000,0.000000,0.000000,0.00000000,0.00000000
677,13.559999,0.000000,0.000000,0.00000000,0.00000000
678,13.580000,0.000000,0.000000,0.00000000,0.00000000
679,13.599999,0.000000,0.000000,0.00000000,0.00000000
680,13.620000,0.000000,0.000000,0.00000000,0.00000000
681,13.639999,0.000000,0.000000,0.00000000,0.00000000
682,13.660000,0.000000,0.000000,0.00000000,0.00000000
683,13.679999,0.000000,0.000000,0.00000000,0.00000000
684,13.700000,0.000000,0.000000,0.00000000,0.00000000
685,13.719999,0.000000,0.000000,0.00000000,0.00000000
686,13.740000,0.000000,0.000000,0.00000000,0.00000000
687,13.759999,0.000000,0.000000,0.00000000,0.00000000
688,13.780000,0.000000,0.000000,0.00000000,0.00000000
689,13.799999,0.000000,0.000000,0.00000000,0.00000000
690,13.820000,0.000000,0.000000,0.00000000,0.00000000
691,13.840000,0.000000,0.000000,0.00000000,0.00000000
692,13.860000,0.000000,0.000000,0.00000000,0.00000000
693,13.880000,0.000000,0.000000,0.00000000,0.00000000
694,13.900000,0.000000,0.000000,0.00000000,0.00000000
695,13.920000,0.000000,0.000000,0.00000000,0.00000000
696,13.940000,0.000000,0.000000,0.00000000,0.00000000
697,13.960000,0.000000,0.000000,0.00000000,0.00000000
698,13.980000,0.000000,0.000000,0.00000000,0.00000000
699,14.000000,0.000000,0.000000,0.00000000,0.00000000
700,14.020000,0.000000,0.000000,0.00000000,0.00000000
701,14.040000,0.000000,0.000000,0.00000000,0.00000000
702,14.059999,0.000000,0.000000,0.00000000,0.00000000
703,14.080000,0.000000,0.000000,0.00000000,0.00000000
704,14.099999,0.000000,0.000000,0.00000000,0.00000000
705,14.120000,0.000000,0.000000,0.00000000,0.00000000
706,14.139999,0.000000,0.000000,0.00000000,0.00000000
707,14.160000,0.000000,0.000000,0.00000000,0.00000000
708,14.179999,0.000000,0.000000,0.00000000,0.00000000
709,14.200000,0.000000,0.000000,0.00000000,0.00000000
710,14.219999,0.000000,0.000000,0.00000000,0.00000000
711,14.240000,0.000000,0.000000,0.00000000,0.00000000
712,14.259999,0.000000,0.000000,0.00000000,0.00000000
713,14.280000,0.000000,0.000000,0.00000000,0.00000000
714,14.299999,0.000000,0.000000,0.00000000,0.00000000
715,14.320000,0.000000,0.000000,0.00000000,0.00000000
716,14.340000,0.000000,0.000000,0.00000000,0.00000000
717,14.360000,0.000000,0.000000,0.00000000,0.00000000
718,14.380000,0.000000,0.000000,0.00000000,0.00000000
719,14.400000,0.000000,0.000000,0.00000000,0.00000000
720,14.420000,0.000000,0.000000,0.00000000,0.00000000
721,14.440000,0.000000,0.000000,0.00000000,0.00000000
722,14.460000,0.000000,0.000000,0.00000000,0.00000000
723,14.480000,0.000000,0.000000,0.00000000,0.00000000
724,14.500000,0.000000,0.000000,0.00000000,0.00000000
725,14.520000,0.000000,0.000000,0.00000000,0.00000000
726,14.540000,0.000000,0.000000,0.00000000,0.00000000
727,14.559999,0.000000,0.000000,0.00000000,0.00000000
728,14.580000,0.000000,0.000000,0.00000000,0.00000000
729,14.599999,0.000000,0.000000,0.00000000,0.00000000
730,14.620000,0.000000,0.000000,0.00000000,0.00000000
731,14.639999,0.000000,0.000000,0.00000000,0.00000000
732,14.660000,0.000000,0.000000,0.00000000,0.00000000
733,14.679999,0.000000,0.000000,0.00000000,0.00000000
734,14.700000,0.000000,0.000000,0.00000000,0.00000000
735,14.719999,0.000000,0.000000,0.00000000,0.00000000
736,14.740000,0.000000,0.000000,0.00000000,0.00000000
737,14.759999,0.000000,0.000000,0.00000000,0.00000000
738,14.780000,0.000000,0.000000,0.00000000,0.00000000
739,14.799999,0.000000,0.000000,0.00000000,0.00000000
740,14.820000,0.000000,0.000000,0.00000000,0.00000000
741,14.839999,0.000000,0.000000,0.00000000,0.00000000
742,14.860000,0.000000,0.000000,0.00000000,0.00000000
743,14.880000,0.000000,0.000000,0.00000000,0.00000000
744,14.900000,0.000000,0.000000,0.00000000,0.00000000
745,14.920000,0.000000,0.000000,0.00000000,0.00000000
746,14.940000,0.000000,0.000000,0.00000000,0.00000000
747,14.960000,0.000000,0.000000,0.00000000,0.00000000
748,14.980000,0.000000,0.000000,0.00000000,0.00000000
749,15.000000,0.000000,0.000000,0.00000000,0.00000000
